title,authors,year,citations,doi,url,venue,oa_status
Molecular generative model based on conditional variational autoencoder for de novo molecular design,Jaechang Lim; Seongok Ryu; Jin Woo Kim; Woo Youn Kim,2018,377,https://doi.org/10.1186/s13321-018-0286-7,https://openalex.org/W2808177712,Journal of Cheminformatics,gold
Predicting Drug–Target Interaction Using a Novel Graph Neural Network with 3D Structure-Embedded Graph Representation,Jaechang Lim; Seongok Ryu; Kyubyong Park; Yo Joong Choe; Jiyeon Ham; Woo Youn Kim,2019,341,https://doi.org/10.1021/acs.jcim.9b00387,https://openalex.org/W2969996838,Journal of Chemical Information and Modeling,closed
PIGNet: a physics-informed deep learning model toward generalized drug–target interaction predictions,Seokhyun Moon; Wonho Zhung; Soojung Yang; Jaechang Lim; Woo Youn Kim,2022,131,https://doi.org/10.1039/d1sc06946b,https://openalex.org/W3080588469,Chemical Science,diamond
Deeply learning molecular structure-property relationships using attention- and gate-augmented graph convolutional network,Seongok Ryu; Jaechang Lim; Seung Hwan Hong; Woo Youn Kim,2018,80,https://doi.org/10.48550/arxiv.1805.10988,https://openalex.org/W2895744665,arXiv (Cornell University),green
Molecular Generative Model Based on an Adversarially Regularized Autoencoder,Seung Hwan Hong; Jaechang Lim; Seongok Ryu; Woo Youn Kim,2019,73,https://doi.org/10.1021/acs.jcim.9b00694,https://openalex.org/W2994676135,Journal of Chemical Information and Modeling,green
3D molecular generative framework for interaction-guided drug design,Wonho Zhung; Hyeongwoo Kim; Woo Youn Kim,2024,51,https://doi.org/10.1038/s41467-024-47011-2,https://openalex.org/W4393222489,Nature Communications,gold
Molecular Generative Model via Retrosynthetically Prepared Chemical Building Block Assembly,Seonghwan Seo; Jaechang Lim; Woo Youn Kim,2023,41,https://doi.org/10.1002/advs.202206674,https://openalex.org/W4313456179,Advanced Science,gold
PIGNet2: a versatile deep learning-based protein–ligand interaction prediction model for binding affinity scoring and virtual screening,Seokhyun Moon; Sang-Yeon Hwang; Jaechang Lim; Woo Youn Kim,2023,39,https://doi.org/10.1039/d3dd00149k,https://openalex.org/W4389636080,Digital Discovery,diamond
Drug-likeness scoring based on unsupervised learning,Kyung-Hoon Lee; Jinho Jang; Seonghwan Seo; Jaechang Lim; Woo Youn Kim,2021,30,https://doi.org/10.1039/d1sc05248a,https://openalex.org/W4200583473,Chemical Science,diamond
DFRscore: Deep Learning-Based Scoring of Synthetic Complexity with Drug-Focused Retrosynthetic Analysis for High-Throughput Virtual Screening,Hyeongwoo Kim; Kyung-Hoon Lee; Chansu Kim; Jaechang Lim; Woo Youn Kim,2023,17,https://doi.org/10.1021/acs.jcim.3c01134,https://openalex.org/W4386305042,Journal of Chemical Information and Modeling,closed
Deeply learning molecular structure-property relationships using graph attention neural network.,Seongok Ryu; Jaechang Lim; Woo Youn Kim,2018,10,,https://openalex.org/W2803231559,arXiv (Cornell University),green
Toward generalizable structure‐based deep learning models for protein–ligand interaction prediction: Challenges and strategies,Seokhyun Moon; Wonho Zhung; Woo Youn Kim,2024,9,https://doi.org/10.1002/wcms.1705,https://openalex.org/W4392172577,Wiley Interdisciplinary Reviews Computational Molecular Science,bronze
PharmacoNet: deep learning-guided pharmacophore modeling for ultra-large-scale virtual screening,Seonghwan Seo; Woo Youn Kim,2024,8,https://doi.org/10.1039/d4sc04854g,https://openalex.org/W4404051067,Chemical Science,diamond
Predicting drug-target interaction using 3D structure-embedded graph representations from graph neural networks,Jaechang Lim; Seongok Ryu; Kyubyong Park; Yo Joong Choe; Jiyeon Ham; Woo Youn Kim,2019,5,https://doi.org/10.48550/arxiv.1904.08144,https://openalex.org/W2940042811,arXiv (Cornell University),green
Scaffold-based molecular design using graph generative model,Jaechang Lim; Sang-Yeon Hwang; Seokhyun Moon; Seungsu Kim; Woo Youn Kim,2019,3,https://doi.org/10.48550/arxiv.1905.13639,https://openalex.org/W3027291868,arXiv (Cornell University),green
BInD: Bond and Interaction‐Generating Diffusion Model for Multi‐Objective Structure‐Based Drug Design,Joongwon Lee; Wonho Zhung; Jin‐Young Seo; Woo Youn Kim,2025,1,https://doi.org/10.1002/advs.202502702,https://openalex.org/W4412193335,Advanced Science,gold
Accelerating Drug Discovery with HyperLab: An Easy-to-Use AI-Driven Platform,Jaechang Lim; Jaechang Lim,2025,1,https://doi.org/10.1101/2025.08.31.672525,https://openalex.org/W4413901130,,gold
A Protein-Ligand Interaction-focused 3D Molecular Generative Framework for Generalizable Structure-based Drug Design,Wonho Zhung; Hyeongwoo Kim; Woo Youn Kim,2023,0,https://doi.org/10.26434/chemrxiv-2023-jsjwx,https://openalex.org/W4380487417,,gold
DeepBioisostere: Deep Learning-based Bioisosteric Replacements for Optimization of Multiple Molecular Properties,Woo Youn Kim; Hyeongwoo Kim; Seokhyun Moon; Wonho Zhung; Jaechang Lim,2024,0,https://doi.org/10.21203/rs.3.rs-4225249/v1,https://openalex.org/W4400475861,,gold
Dual Targeting of Tau Kinases and Autophagy by Abemaciclib Independent of CDK4/6 Inhibition,Jihui Han; June‐Hyun Jeong; Dongjoon Lee; Yujin Jung; Yan Jin; Eujene Jung; Haeng Jun Kim; Woo Youn Kim; Chang‐Han Lee; Inhee Mook‐Jung,2026,0,https://doi.org/10.1002/advs.202513135,https://openalex.org/W7124157600,Advanced Science,gold
Fragment-based molecular generative model with high generalization ability and synthetic accessibility,Seonghwan Seo; Jaechang Lim; Woo Youn Kim,2021,0,https://doi.org/10.48550/arxiv.2111.12907,https://openalex.org/W3216027012,arXiv (Cornell University),green
Molecular Generative Model Based On Adversarially Regularized\n Autoencoder,Seung Hwan Hong; Jaechang Lim; Seongok Ryu; Woo Youn Kim,2019,0,https://doi.org/10.48550/arxiv.1912.05617,https://openalex.org/W4288024758,arXiv (Cornell University),green
DeepBioisostere: Discovering Bioisosteres with Deep Learning for a Fine Control of Multiple Molecular Properties,"Hyeongwoo Kim; Seokhyun Moon; Wonho Zhung; Jaechang Lim; Woo Youn Kim; Kim, Woo Youn",2024,0,https://doi.org/10.48550/arxiv.2403.02706,https://openalex.org/W4392538259,arXiv (Cornell University),green
